Date;CPI
2017-01;299.74
2017-02;302.17
2017-03;305.24
2017-04;309.23
2017-05;310.61
2017-06;309.78
2017-07;310.24
2017-08;311.85
2017-09;313.88
2017-10;320.40
2017-11;325.18
2017-12;327.41
2018-01;330.75
2018-02;333.17
2018-03;336.48
2018-04;342.78
2018-05;348.34
2018-06;357.44
2018-07;359.41
2018-08;367.66
2018-09;390.84
2018-10;401.27
2018-11;395.48
2018-12;393.88
2019-01;398.07
2019-02;398.71
2019-03;402.81
2019-04;409.63
2019-05;413.52
2019-06;413.63
2019-07;419.24
2019-08;422.84
2019-09;427.04
2019-10;435.59
2019-11;437.25
2019-12;440.50
2020-01;446.45
2020-02;448.02
2020-03;450.58
2020-04;454.43
2020-05;460.62
2020-06;465.84
2020-07;468.56
2020-08;472.61
2020-09;477.21
2020-10;487.38
2020-11;498.58
2020-12;504.81
2021-01;513.30
