Date;InfRate
2018-01;10.35
2018-02;10.26
2018-03;10.23
2018-04;10.85
2018-05;12.15
2018-06;15.39
2018-07;15.85
2018-08;17.90
2018-09;24.52
2018-10;25.24
2018-11;21.62
2018-12;20.30
2019-01;20.35
2019-02;19.67
2019-03;19.71
2019-04;19.50
2019-05;18.71
2019-06;15.72
2019-07;16.65
2019-08;15.01
2019-09;9.26
2019-10;8.55
2019-11;10.56
2019-12;11.84
2020-01;12.15
2020-02;12.37
2020-03;11.86
2020-04;10.94
2020-05;11.39
2020-06;12.62
2020-07;11.76
2020-08;11.77
2020-09;11.75
2020-10;11.89
2020-11;14.03
2020-12;14.60
2021-01;14.97

