Tarih;sales;kredi;niyet
2013-01;36581.00;9.78;10.67
2013-02;37150.00;9.58;10.49
2013-03;41809.00;9.31;11.33
2013-04;40812.00;9.06;10.56
2013-05;45270.00;8.77;10.18
2013-06;43763.00;8.30;11.62
2013-07;46053.00;8.91;12.55
2013-08;31559.00;9.78;10.69
2013-09;37835.00;10.73;10.01
2013-10;26337.00;10.93;10.51
2013-11;36600.00;10.62;10.75
2013-12;36343.00;10.61;10.08
2014-01;32046.00;11.30;10.38
2014-02;24059.00;13.03;8.61
2014-03;24465.00;13.51;12.02
2014-04;23447.00;13.52;11.00
2014-05;29760.00;12.94;12.64
2014-06;32029.00;12.29;12.08
2014-07;30912.00;11.46;9.28
2014-08;35338.00;11.06;9.94
2014-09;43144.00;10.91;10.98
2014-10;34451.00;10.75;10.88
2014-11;36925.00;10.91;8.12
2014-12;43113.00;11.01;8.41
2015-01;33178.00;11.01;8.25
2015-02;36952.00;10.80;9.14
2015-03;45315.00;10.82;9.44
2015-04;46063.00;10.97;9.36
2015-05;40086.00;11.49;8.72
2015-06;40503.00;11.87;8.49
2015-07;30754.00;12.28;8.64
2015-08;36021.00;12.59;8.52
2015-09;28684.00;13.57;6.99
2015-10;27996.00;14.30;6.48
2015-11;28553.00;14.13;8.78
2015-12;40283.00;14.01;7.51
2016-01;26584.00;14.27;8.51
2016-02;30455.00;14.45;8.57
2016-03;38822.00;14.45;8.79
2016-04;33429.00;14.33;9.44
2016-05;35423.00;13.96;8.92
2016-06;36371.00;13.84;10.46
2016-07;23756.00;13.67;7.95
2016-08;36458.00;12.86;9.97
2016-09;42083.00;12.09;9.68
2016-10;48110.00;12.12;9.25
2016-11;48941.00;11.69;7.81
2016-12;49076.00;11.42;6.39
2017-01;35993.00;11.45;6.92
2017-02;38676.00;11.38;9.12
2017-03;50424.00;11.06;8.75
2017-04;43334.00;11.28;11.17
2017-05;41738.00;11.55;11.12
2017-06;35210.00;11.72;7.29
2017-07;38575.00;12.02;10.45
2017-08;38743.00;12.49;8.34
2017-09;40534.00;12.87;6.63
2017-10;38593.00;13.05;7.49
2017-11;37250.00;13.12;5.83
2017-12;34029.00;13.52;6.94
2018-01;28678.00;14.14;8.94
2018-02;27916.00;14.68;8.18
2018-03;32786.00;14.79;8.56
2018-04;27912.00;14.83;8.09
2018-05;36865.00;13.88;7.71
2018-06;47648.00;13.10;8.88
2018-07;30405.00;16.86;7.78
2018-08;12743.00;18.99;8.57
2018-09;11330.00;25.18;6.04
2018-10;8065.00;28.95;4.83
2018-11;5324.00;28.63;5.97
2018-12;7148.00;27.82;5.51
2019-01;6537.00;26.22;6.85
2019-02;8890.00;22.98;6.13
2019-03;22762.00;18.16;6.12
2019-04;22461.00;17.70;8.85
2019-05;14916.00;20.45;7.08
2019-06;7319.00;21.81;5.95
2019-07;13064.00;21.06;6.59
2019-08;34148.00;14.15;6.98
2019-09;57811.00;12.98;6.66
2019-10;50411.00;13.12;6.78
2019-11;43911.00;12.96;6.91
2019-12;50278.00;12.69;6.76
2020-01;42237.00;11.88;7.43
2020-02;43733.00;11.43;7.42
2020-03;43329.00;11.40;8.67
2020-04;17088.00;11.72;6.57
2020-05;18483.00;11.23;6.46
2020-06;101504.00;9.30;9.53
2020-07;130721.00;9.11;7.89
2020-08;76019.00;11.09;6.28
2020-09;35576.00;14.16;8.51
2020-10;25566.00;15.07;8.40
2020-11;24450.00;15.68;8.81
2020-12;14631.00;18.19;8.84
2021-01;10732.00;18.39;10.67
2021-02;14669.00;17.99;10.35
2021-03;21815.00;17.74;10.45
2021-04;;18.15;10.95
