Date;EvSat
2018-01;28678.00
2018-02;27916.00
2018-03;32786.00
2018-04;27912.00
2018-05;36865.00
2018-06;47648.00
2018-07;30405.00
2018-08;12743.00
2018-09;11330.00
2018-10;8065.00
2018-11;5324.00
2018-12;7148.00
2019-01;6537.00
2019-02;8890.00
2019-03;22762.00
2019-04;22461.00
2019-05;14916.00
2019-06;7319.00
2019-07;13064.00
2019-08;34148.00
2019-09;57811.00
2019-10;50411.00
2019-11;43911.00
2019-12;50278.00
2020-01;42237.00
2020-02;43733.00
2020-03;43329.00
2020-04;17088.00
2020-05;18483.00
2020-06;101504.00
2020-07;130721.00
2020-08;76019.00
2020-09;35576.00
2020-10;25566.00
2020-11;24450.00
2020-12;14631.00
2021-01;10732.00
2021-02;14669.00
2021-03;21815.00
