Date;Faiz
2018-01;14.14
2018-02;14.68
2018-03;14.79
2018-04;14.83
2018-05;13.88
2018-06;13.10
2018-07;16.86
2018-08;18.99
2018-09;25.18
2018-10;28.95
2018-11;28.63
2018-12;27.82
2019-01;26.22
2019-02;22.98
2019-03;18.16
2019-04;17.70
2019-05;20.45
2019-06;21.81
2019-07;21.06
2019-08;14.15
2019-09;12.98
2019-10;13.12
2019-11;12.96
2019-12;12.69
2020-01;11.88
2020-02;11.43
2020-03;11.40
2020-04;11.72
2020-05;11.23
2020-06;9.30
2020-07;9.11
2020-08;11.09
2020-09;14.16
2020-10;15.07
2020-11;15.68
2020-12;18.19
2021-01;18.39
